code,country,year,safelyManaged,accessOnPremises,availableWhenNeeded,freeFromContamination,piped,nonpiped
CUB,Cuba,2015,-,93,-,-,79,18
CUW,Curaoao,2000,-,-,-,-,-,-
CUW,Curaoao,2015,-,99,-,-,99,1
CYP,Cyprus,2000,96,100,-,96,100,0
CYP,Cyprus,2015,100,100,-,100,100,0
CZE,Czech Republic,2000,96,96,-,98,96,3
CZE,Czech Republic,2015,98,98,-,99,100,0
PRK,Democratic People's Republic of Korea,2000,-,94,-,-,82,18
PRK,Democratic People's Republic of Korea,2015,-,94,-,-,90,10
COD,Democratic Republic of the Congo,2000,-,14,-,-,23,21
COD,Democratic Republic of the Congo,2015,-,9,-,-,31,23
DNK,Denmark,2000,94,97,-,94,100,0
DNK,Denmark,2015,97,97,-,98,100,0
DJI,Djibouti,2000,-,45,-,-,76,14
DJI,Djibouti,2015,-,46,-,-,80,12
DMA,Dominica,2000,-,66,51,-,92,2
DMA,Dominica,2015,-,75,53,-,95,2
DOM,Dominican Republic,2000,-,75,-,-,75,19
DOM,Dominican Republic,2015,-,92,-,-,80,17
ECU,Ecuador,2000,66,77,79,66,72,12
ECU,Ecuador,2015,74,91,88,74,86,7
EGY,Egypt,2000,-,90,63,-,88,11
EGY,Egypt,2015,-,97,71,-,98,1
SLV,El Salvador,2000,-,71,72,-,71,12
SLV,El Salvador,2015,-,90,71,-,88,9
GNQ,Equatorial Guinea,2000,-,9,-,-,9,42
GNQ,Equatorial Guinea,2015,-,10,-,-,33,19
ERI,Eritrea,2000,-,16,-,-,23,42
ERI,Eritrea,2015,-,19,-,-,47,15
EST,Estonia,2000,93,93,-,99,86,13
EST,Estonia,2015,82,96,-,82,96,3
ETH,Ethiopia,2000,5,5,18,7,17,7
ETH,Ethiopia,2015,11,16,51,13,33,31
FLK,Falkland Islands (Malvinas),2000,-,-,-,-,-,-
FLK,Falkland Islands (Malvinas),2015,-,92,-,-,90,5
FRO,Faroe Islands,2000,-,100,-,-,100,0
FRO,Faroe Islands,2015,-,100,-,-,100,0
FJI,Fiji,2000,-,78,95,-,-,-
FJI,Fiji,2015,-,69,94,-,87,7
FIN,Finland,2000,92,100,-,92,99,1
FIN,Finland,2015,97,97,-,100,100,0
FRA,France,2000,93,93,-,97,100,0
FRA,France,2015,93,93,-,98,100,0
GUF,French Guiana,2000,-,-,-,-,-,-
GUF,French Guiana,2015,-,90,-,-,87,7
PYF,French Polynesia,2000,-,95,-,-,90,10
PYF,French Polynesia,2015,-,99,-,-,100,0
GAB,Gabon,2000,-,42,-,-,79,5
GAB,Gabon,2015,-,69,-,-,85,8
